0 	 com	lead	chief
0  0.5048  0.4932  0.4480
1  0.2303  0.6318  0.4252
2  0.2305  0.7555  0.3507
3  0.2308  0.8568  0.3342
4  0.2338  0.9503  0.2965
5  0.2380  1.0209  0.2720
6  0.2380  1.0769  0.2578
7  0.2407  1.1211  0.2233
8  0.2410  1.1566  0.2339
9  0.2437  1.1880  0.1808
10  0.2440  1.1999  0.1660
11  0.2445  1.2104  0.1648
12  0.2435  1.2190  0.1937
13  0.2445  1.2301  0.1737
14  0.2470  1.2348  0.1837
15  0.2420  1.2459  0.1677
16  0.2477  1.2448  0.1480
17  0.2465  1.2474  0.1602
18  0.2457  1.2532  0.1452
19  0.2482  1.2513  0.1104
20  0.2452  1.2549  0.1339
21  0.2485  1.2575  0.1348
22  0.2465  1.2592  0.1368
23  0.2487  1.2623  0.1353
24  0.2475  1.2631  0.1553
25  0.2490  1.2684  0.1444
26  0.2485  1.2686  0.1879
27  0.2475  1.2670  0.1816
28  0.2485  1.2682  0.1587
29  0.2477  1.2665  0.1468
30  0.2462  1.2677  0.1222
31  0.2492  1.2656  0.1330
32  0.2482  1.2662  0.1223
33  0.2490  1.2703  0.1536
34  0.2500  1.2727  0.1543
35  0.2502  1.2710  0.1269
36  0.2485  1.2703  0.1339
37  0.2510  1.2714  0.1511
38  0.2487  1.2691  0.1671
39  0.2505  1.2689  0.1509
40  0.2502  1.2705  0.1671
41  0.2500  1.2705  0.1714
42  0.2475  1.2707  0.1455
43  0.2457  1.2678  0.1062
44  0.2487  1.2660  0.1121
45  0.2475  1.2678  0.1265
46  0.2472  1.2696  0.1291
47  0.2487  1.2732  0.1463
48  0.2502  1.2761  0.1461
49  0.2487  1.2737  0.1439
50  0.2485  1.2702  0.1573
51  0.2512  1.2718  0.1532
52  0.2512  1.2713  0.1481
53  0.2500  1.2733  0.1314
54  0.2482  1.2744  0.1199
55  0.2482  1.2732  0.1171
56  0.2492  1.2702  0.1258
57  0.2487  1.2707  0.0955
58  0.2485  1.2691  0.1141
59  0.2492  1.2688  0.0936
60  0.2480  1.2698  0.1088
61  0.2497  1.2695  0.1338
62  0.2500  1.2690  0.1293
63  0.2465  1.2710  0.1344
64  0.2490  1.2686  0.1186
65  0.2477  1.2701  0.0997
66  0.2475  1.2695  0.0992
67  0.2480  1.2705  0.1288
68  0.2460  1.2688  0.1185
69  0.2492  1.2687  0.1257
70  0.2495  1.2695  0.1372
71  0.2505  1.2720  0.1245
72  0.2475  1.2725  0.1123
73  0.2477  1.2732  0.1245
74  0.2495  1.2719  0.1419
75  0.2495  1.2708  0.1581
76  0.2495  1.2709  0.1532
77  0.2492  1.2715  0.1346
78  0.2470  1.2711  0.1295
79  0.2495  1.2718  0.1608
80  0.2495  1.2720  0.2012
81  0.2480  1.2702  0.1738
82  0.2477  1.2702  0.1856
83  0.2495  1.2684  0.1829
84  0.2472  1.2690  0.1564
85  0.2500  1.2688  0.1787
86  0.2490  1.2692  0.1696
87  0.2492  1.2689  0.1409
88  0.2477  1.2680  0.1821
89  0.2475  1.2688  0.1599
90  0.2467  1.2683  0.1717
91  0.2492  1.2679  0.1513
92  0.2480  1.2688  0.1841
93  0.2487  1.2695  0.1593
94  0.2487  1.2685  0.1676
95  0.2487  1.2697  0.1836
96  0.2480  1.2670  0.1741
97  0.2487  1.2683  0.1810
98  0.2492  1.2702  0.1939
99  0.2477  1.2711  0.2065
100  0.2485  1.2688  0.1723
101  0.2467  1.2682  0.1705
102  0.2480  1.2685  0.1697
103  0.2475  1.2683  0.1680
104  0.2487  1.2694  0.1800
105  0.2487  1.2701  0.1814
106  0.2482  1.2721  0.1779
107  0.2490  1.2701  0.1574
108  0.2485  1.2705  0.1503
109  0.2495  1.2682  0.1478
110  0.2492  1.2673  0.1603
111  0.2482  1.2663  0.1500
112  0.2490  1.2680  0.1225
113  0.2480  1.2693  0.1553
114  0.2492  1.2675  0.1492
115  0.2507  1.2661  0.1992
116  0.2502  1.2698  0.1962
117  0.2475  1.2699  0.1817
118  0.2467  1.2709  0.1849
119  0.2512  1.2691  0.1818
120  0.2475  1.2672  0.1813
121  0.2480  1.2663  0.2020
122  0.2492  1.2699  0.2428
123  0.2482  1.2703  0.2233
124  0.2480  1.2720  0.1903
125  0.2487  1.2702  0.1729
126  0.2490  1.2707  0.1801
127  0.2485  1.2702  0.2003
128  0.2475  1.2689  0.1578
129  0.2510  1.2706  0.1728
130  0.2475  1.2717  0.1673
131  0.2490  1.2716  0.1637
132  0.2505  1.2706  0.1686
133  0.2502  1.2700  0.1881
134  0.2490  1.2687  0.1786
135  0.2455  1.2691  0.1608
136  0.2485  1.2698  0.1548
137  0.2485  1.2694  0.1570
138  0.2462  1.2694  0.1403
139  0.2462  1.2688  0.1426
140  0.2477  1.2703  0.1581
141  0.2500  1.2724  0.1604
142  0.2482  1.2705  0.1546
143  0.2462  1.2711  0.1239
144  0.2492  1.2703  0.1208
145  0.2465  1.2689  0.0997
146  0.2507  1.2701  0.1066
147  0.2470  1.2706  0.1085
148  0.2487  1.2705  0.1193
149  0.2470  1.2704  0.1239
150  0.2487  1.2714  0.1607
