0	p	q
0  0.5009  0.4337
1  0.4661  0.3816
2  0.4139  0.3524
3  0.3742  0.2416
4  0.3294  0.2039
5  0.2891  0.1725
6  0.2528  0.1215
7  0.2152  0.1077
8  0.1889  0.0869
9  0.1499  0.0827
10  0.1246  0.0720
11  0.1090  0.0634
12  0.0902  0.0670
13  0.0749  0.0603
14  0.0623  0.0491
15  0.0503  0.0688
16  0.0462  0.0494
17  0.0380  0.0482
18  0.0305  0.0384
19  0.0266  0.0394
20  0.0218  0.0339
21  0.0212  0.0365
22  0.0193  0.0548
23  0.0165  0.0512
24  0.0171  0.0490
25  0.0173  0.0439
26  0.0146  0.0557
27  0.0149  0.0540
28  0.0149  0.0562
29  0.0141  0.0501
30  0.0117  0.0448
31  0.0131  0.0466
32  0.0123  0.0500
33  0.0138  0.0347
34  0.0134  0.0397
35  0.0111  0.0297
36  0.0106  0.0239
37  0.0100  0.0303
38  0.0098  0.0469
39  0.0095  0.0345
40  0.0073  0.0459
41  0.0080  0.0426
42  0.0085  0.0328
43  0.0070  0.0497
44  0.0070  0.0361
45  0.0086  0.0446
46  0.0109  0.0420
47  0.0115  0.0352
48  0.0112  0.0397
49  0.0109  0.0342
50  0.0099  0.0259
51  0.0093  0.0457
52  0.0083  0.0375
53  0.0095  0.0345
54  0.0102  0.0342
55  0.0098  0.0310
56  0.0115  0.0417
57  0.0100  0.0472
58  0.0093  0.0520
59  0.0108  0.0546
60  0.0110  0.0596
61  0.0135  0.0465
62  0.0129  0.0528
63  0.0123  0.0419
64  0.0104  0.0290
65  0.0092  0.0330
66  0.0089  0.0396
67  0.0091  0.0561
68  0.0082  0.0540
69  0.0102  0.0612
70  0.0097  0.0541
71  0.0100  0.0489
72  0.0093  0.0517
73  0.0092  0.0542
74  0.0091  0.0376
75  0.0106  0.0359
76  0.0092  0.0433
77  0.0100  0.0329
78  0.0110  0.0280
79  0.0102  0.0363
80  0.0088  0.0269
81  0.0090  0.0368
82  0.0062  0.0246
83  0.0063  0.0277
84  0.0047  0.0152
85  0.0047  0.0199
86  0.0049  0.0332
87  0.0065  0.0422
88  0.0083  0.0538
89  0.0075  0.0635
90  0.0090  0.0521
91  0.0091  0.0512
92  0.0107  0.0426
93  0.0096  0.0479
94  0.0126  0.0495
95  0.0130  0.0242
96  0.0119  0.0270
97  0.0124  0.0334
98  0.0104  0.0397
99  0.0087  0.0332
100  0.0085  0.0405
101  0.0088  0.0638
102  0.0108  0.0668
103  0.0119  0.0659
104  0.0111  0.0667
105  0.0088  0.0553
106  0.0092  0.0506
107  0.0090  0.0427
108  0.0076  0.0378
109  0.0077  0.0441
110  0.0087  0.0486
111  0.0096  0.0381
112  0.0107  0.0371
113  0.0095  0.0437
114  0.0104  0.0428
115  0.0091  0.0371
116  0.0081  0.0261
117  0.0073  0.0349
118  0.0064  0.0303
119  0.0069  0.0505
120  0.0067  0.0423
121  0.0073  0.0318
122  0.0103  0.0385
123  0.0091  0.0197
124  0.0080  0.0318
125  0.0093  0.0450
126  0.0089  0.0409
127  0.0086  0.0449
128  0.0088  0.0584
129  0.0081  0.0482
130  0.0078  0.0291
131  0.0071  0.0342
132  0.0080  0.0572
133  0.0088  0.0681
134  0.0088  0.0521
135  0.0085  0.0531
136  0.0083  0.0456
137  0.0072  0.0492
138  0.0083  0.0328
139  0.0074  0.0423
140  0.0100  0.0357
141  0.0086  0.0229
142  0.0078  0.0312
143  0.0078  0.0317
144  0.0077  0.0244
145  0.0066  0.0416
146  0.0071  0.0412
147  0.0074  0.0463
148  0.0098  0.0508
149  0.0088  0.0650
150  0.0094  0.0791
