0 	 com	lead	chief
0  0.0000  0.0000  0.0000
1  1.7349  3.6059  1.9767
2  1.8290  3.6884  1.9013
3  1.9161  3.7863  2.3179
4  2.0065  3.8898  3.0211
5  2.0607  3.9425  1.6973
6  2.1234  4.0479  2.0350
7  2.1550  4.0583  1.8260
8  2.1911  4.0622  1.1708
9  2.2406  4.1274  2.5506
10  2.2634  4.1251  2.5372
11  2.2933  4.2033  2.3263
12  2.3064  4.2147  2.4666
13  2.3092  4.1833  1.7936
14  2.3388  4.2441  2.6532
15  2.3523  4.2533  2.6501
16  2.3490  4.2247  1.8169
17  2.3489  4.2029  2.0900
18  2.3676  4.2617  2.2490
19  2.3665  4.2449  1.5707
20  2.3726  4.2534  1.9823
21  2.3694  4.2460  2.6667
22  2.3878  4.3092  2.1398
23  2.3967  4.3351  2.6743
24  2.3866  4.2888  2.9361
25  2.3899  4.3005  2.9542
26  2.3885  4.2788  2.2315
27  2.3995  4.3199  2.3836
28  2.3952  4.3008  2.3758
29  2.3960  4.3082  2.6555
30  2.3927  4.2903  2.9273
31  2.4051  4.3419  2.2407
32  2.3948  4.2988  1.9656
33  2.4019  4.3295  2.5189
34  2.3972  4.3251  2.6534
35  2.4117  4.3594  2.3968
36  2.4025  4.3262  2.2594
37  2.3998  4.3116  3.0407
38  2.3984  4.3140  2.5373
39  2.3932  4.2951  2.3984
40  2.4045  4.3340  2.6896
41  2.4041  4.3337  1.9868
42  2.3986  4.3259  2.1466
43  2.4073  4.3367  2.4022
44  2.4035  4.3184  2.9597
45  2.4053  4.3289  2.8163
46  2.3980  4.3040  1.9742
47  2.3896  4.2843  2.2516
48  2.4094  4.3567  2.6618
49  2.3952  4.3110  3.0929
50  2.3933  4.2880  3.0792
51  2.4016  4.3152  1.7113
52  2.4119  4.3661  2.2677
53  2.3986  4.3052  2.1203
54  2.3963  4.3011  2.2411
55  2.4017  4.3146  2.6691
56  2.4082  4.3333  2.4931
57  2.4054  4.3236  2.3516
58  2.4206  4.3806  2.9154
59  2.4032  4.3106  1.6913
60  2.4022  4.3153  2.1126
61  2.4002  4.3247  2.2379
62  2.4133  4.3608  2.6526
63  2.3989  4.3079  1.9796
64  2.4046  4.3358  1.8640
65  2.3992  4.3100  2.5439
66  2.4010  4.3233  2.0014
67  2.3974  4.3080  2.9442
68  2.4058  4.3341  2.5376
69  2.4036  4.3286  2.1127
70  2.4080  4.3441  2.6449
71  2.4056  4.3346  2.1149
72  2.4010  4.3086  2.3695
73  2.4021  4.3202  2.5253
74  2.4007  4.3138  1.7134
75  2.3982  4.3216  2.5309
76  2.4050  4.3326  2.8020
77  2.4045  4.3337  2.1204
78  2.3932  4.2842  1.9890
79  2.3902  4.2642  3.0767
80  2.4015  4.3255  2.8042
81  2.4050  4.3287  2.2722
82  2.4079  4.3300  1.9819
83  2.3958  4.2870  2.5177
84  2.4051  4.3211  2.5336
85  2.3985  4.2927  2.4062
86  2.4125  4.3441  2.5293
87  2.3939  4.2796  2.6616
88  2.4119  4.3441  2.6446
89  2.4110  4.3285  2.9213
90  2.4153  4.3520  1.8341
91  2.3955  4.2876  2.2362
92  2.4065  4.3248  1.8344
93  2.4020  4.2996  1.9527
94  2.3974  4.2857  1.6821
95  2.3941  4.2755  3.3191
96  2.4036  4.3229  2.7833
97  2.4101  4.3476  2.1338
98  2.4063  4.3299  2.0922
99  2.4100  4.3496  2.5270
100  2.4130  4.3574  2.2495
101  2.4090  4.3353  1.5640
102  2.3996  4.2950  2.2405
103  2.4057  4.3450  1.9654
104  2.4088  4.3533  2.2375
105  2.4021  4.3198  2.3923
106  2.3954  4.2790  2.6405
107  2.4023  4.3280  2.3825
108  2.4133  4.3513  2.4051
109  2.4087  4.3401  2.9385
110  2.4128  4.3498  1.9768
111  2.4077  4.3448  1.8624
112  2.4060  4.3470  2.2504
113  2.3998  4.3113  2.8327
114  2.3929  4.2913  2.3903
115  2.3963  4.2990  2.5161
116  2.4030  4.3171  2.5227
117  2.4013  4.3138  2.1099
118  2.4081  4.3442  3.0947
119  2.4054  4.3319  1.9748
120  2.4164  4.3652  2.5380
121  2.4104  4.3397  2.2413
122  2.4136  4.3658  1.5769
123  2.4021  4.3148  2.2621
124  2.4155  4.3630  2.5208
125  2.4035  4.3126  3.1696
126  2.3988  4.2935  1.9500
127  2.4124  4.3525  1.9768
128  2.4112  4.3364  2.1001
129  2.4159  4.3620  2.3681
130  2.4020  4.3092  2.0966
131  2.4105  4.3374  1.5761
132  2.4147  4.3654  2.3774
133  2.4034  4.3192  2.5042
134  2.4057  4.3198  2.6386
135  2.4115  4.3469  2.4980
136  2.3988  4.2934  3.4598
137  2.4076  4.3305  1.8330
138  2.4072  4.3288  2.2182
139  2.4054  4.3246  2.3871
140  2.4137  4.3691  2.1244
141  2.4065  4.3466  2.4262
142  2.3994  4.3222  2.9703
143  2.4145  4.3636  1.8517
144  2.4053  4.3257  2.7915
145  2.4060  4.3296  2.3866
146  2.4080  4.3298  2.4002
147  2.4083  4.3367  2.7870
148  2.4052  4.3298  2.0949
149  2.4027  4.3214  2.9284
150  2.4048  4.3272  2.6406
