0	P	Q
0  0.0000  0.0000
1  0.3022  0.1442
2  0.3156  0.1504
3  0.3275  0.1517
4  0.3401  0.1548
5  0.3476  0.1568
6  0.3580  0.1572
7  0.3613  0.1525
8  0.3627  0.1509
9  0.3682  0.1531
10  0.3688  0.1510
11  0.3747  0.1504
12  0.3761  0.1490
13  0.3741  0.1446
14  0.3787  0.1442
15  0.3793  0.1470
16  0.3776  0.1452
17  0.3758  0.1427
18  0.3799  0.1436
19  0.3788  0.1430
20  0.3794  0.1433
21  0.3790  0.1432
22  0.3832  0.1421
23  0.3854  0.1446
24  0.3824  0.1428
25  0.3831  0.1450
26  0.3818  0.1452
27  0.3846  0.1483
28  0.3835  0.1470
29  0.3843  0.1466
30  0.3828  0.1446
31  0.3863  0.1482
32  0.3833  0.1484
33  0.3851  0.1476
34  0.3853  0.1453
35  0.3874  0.1492
36  0.3851  0.1461
37  0.3843  0.1466
38  0.3843  0.1439
39  0.3830  0.1430
40  0.3856  0.1425
41  0.3857  0.1429
42  0.3851  0.1412
43  0.3860  0.1429
44  0.3847  0.1427
45  0.3855  0.1450
46  0.3838  0.1453
47  0.3824  0.1438
48  0.3876  0.1454
49  0.3842  0.1425
50  0.3826  0.1433
51  0.3846  0.1448
52  0.3882  0.1448
53  0.3840  0.1444
54  0.3837  0.1472
55  0.3845  0.1482
56  0.3859  0.1498
57  0.3852  0.1489
58  0.3890  0.1522
59  0.3842  0.1497
60  0.3849  0.1472
61  0.3856  0.1449
62  0.3879  0.1480
63  0.3842  0.1476
64  0.3859  0.1444
65  0.3839  0.1453
66  0.3850  0.1430
67  0.3840  0.1416
68  0.3858  0.1441
69  0.3856  0.1444
70  0.3866  0.1448
71  0.3859  0.1459
72  0.3843  0.1459
73  0.3851  0.1454
74  0.3848  0.1440
75  0.3853  0.1426
76  0.3859  0.1455
77  0.3859  0.1457
78  0.3826  0.1438
79  0.3810  0.1442
80  0.3851  0.1444
81  0.3852  0.1451
82  0.3855  0.1454
83  0.3826  0.1447
84  0.3849  0.1467
85  0.3827  0.1461
86  0.3866  0.1457
87  0.3822  0.1440
88  0.3866  0.1492
89  0.3856  0.1491
90  0.3872  0.1487
91  0.3827  0.1477
92  0.3851  0.1494
93  0.3834  0.1498
94  0.3824  0.1513
95  0.3818  0.1485
96  0.3853  0.1504
97  0.3869  0.1501
98  0.3857  0.1488
99  0.3869  0.1471
100  0.3874  0.1497
101  0.3859  0.1493
102  0.3832  0.1475
103  0.3868  0.1471
104  0.3875  0.1455
105  0.3851  0.1442
106  0.3824  0.1444
107  0.3857  0.1449
108  0.3872  0.1461
109  0.3865  0.1458
110  0.3871  0.1485
111  0.3867  0.1456
112  0.3870  0.1448
113  0.3843  0.1427
114  0.3828  0.1453
115  0.3834  0.1472
116  0.3845  0.1483
117  0.3843  0.1450
118  0.3863  0.1442
119  0.3856  0.1461
120  0.3879  0.1463
121  0.3862  0.1468
122  0.3881  0.1489
123  0.3844  0.1476
124  0.3879  0.1485
125  0.3843  0.1486
126  0.3831  0.1500
127  0.3872  0.1500
128  0.3861  0.1504
129  0.3878  0.1495
130  0.3841  0.1475
131  0.3861  0.1476
132  0.3883  0.1465
133  0.3849  0.1462
134  0.3848  0.1486
135  0.3869  0.1495
136  0.3831  0.1470
137  0.3855  0.1472
138  0.3855  0.1473
139  0.3851  0.1471
140  0.3883  0.1479
141  0.3866  0.1430
142  0.3851  0.1418
143  0.3879  0.1478
144  0.3852  0.1475
145  0.3857  0.1476
146  0.3856  0.1483
147  0.3861  0.1464
148  0.3858  0.1449
149  0.3851  0.1450
150  0.3854  0.1496
